ID	ENG1	ENG2	SUM1	Technical and Business Writing
56K-1490	78	70	74	74
56K-1491	82	82	82	66
56K-1492	82	54	72	74
56K-1494	58	54	60	66
56K-1495	82	86	84	82
56K-1497	82	78	80	70
56K-1498	82	78	80	78
56K-1499	54	54	58	58
56K-1500	54	54	62	62
56K-1502	82	78	80	78
56K-1506	78	70	74	66
56K-1507	86	86	86	86
56K-1510	74	74	74	82
56K-1511	86	82	84	86
56K-1512	78	74	76	70
56K-1516	58	54	60	62
56K-1517	78	74	76	78
56K-1518	74	70	72	74
56K-1519	66	70	68	70
56K-1520	70	86	78	86
56K-1523	82	74	78	70
56K-1524	78	78	78	78
56K-1525	74	70	72	82
56K-1526	66	66	66	66
56K-1527	82	86	84	78
56K-1528	54	74	68	78
56K-1531	78	82	80	78
56K-1532	86	86	86	82
56K-1533	82	66	74	74
56K-1535	82	74	78	74
56K-1536	66	66	66	50
56K-1537	66	70	68	66
56K-1538	70	70	70	86
56K-1539	66	54	64	66
56K-1540	70	70	70	70
56K-1541	70	54	66	82
56K-1542	70	58	64	66
56K-1543	70	74	72	70
56K-1544	66	66	66	70
56K-1545	74	74	74	82
56K-1547	70	66	68	66
56K-1549	58	50	54	58
56K-1551	70	66	68	74
56K-1552	86	70	78	82
56K-1553	66	66	66	70
56K-1555	58	66	62	62
56K-1556	70	54	66	70
56K-1557	78	82	80	86
56K-1558	78	78	78	82
56K-1559	74	74	74	82
56K-1560	74	74	74	82
56K-1562	82	82	82	86
56K-1563	86	86	86	86
56K-1564	78	74	76	86
56K-1565	66	54	64	70
56K-1567	66	66	66	0
56K-1568	54	58	56	58
56K-1570	66	54	64	70
56K-1573	54	58	60	74
56K-1574	70	54	66	78
56K-1575	78	54	70	78
56K-1576	66	66	66	74
56K-1579	74	66	70	82
56K-1580	54	54	62	66
56K-1582	54	50	56	66
56K-1585	54	74	68	78
56K-1586	58	50	54	78
56K-1587	70	70	70	78
56K-1589	86	82	84	86
56K-1591	54	54	58	54
56K-1593	70	58	64	62
56K-1597	86	86	86	86
56K-1599	70	54	66	62
56K-1600	82	86	84	66
56K-1601	58	54	60	62
56K-1602	82	86	84	70
56K-1606	58	58	58	0
56K-1607	78	78	78	78
56K-1608	74	70	72	74
56K-1609	74	82	78	82
56K-1610	66	70	68	70
56K-1612	74	66	70	74
56K-1613	58	70	64	58
56K-1614	74	54	68	66
56K-1615	66	78	72	70
56K-1618	74	66	70	66
56K-1623	78	74	76	66
56K-1624	58	70	64	66
56K-1625	70	70	70	70
56K-1626	78	78	78	82
56K-1627	54	58	60	66
56K-1630	78	70	74	82
56K-1632	54	50	52	58
56K-1636	66	66	66	62
56K-1638	58	66	62	62
56K-1639	66	66	66	74
56K-1641	70	70	70	74
56K-1642	70	86	78	82
56K-1646	74	54	68	74
56K-1647	78	54	70	54
56K-1649	74	86	80	86
56K-1650	70	78	74	70
56K-1651	66	58	62	62
56K-1657	70	74	72	74
56K-1659	54	58	56	70
56K-1660	54	54	62	54
56K-1661	66	54	64	66
Grand Total	86	86	86	86
