ID,Introduction to Computer Science,Computer Programming,Data Structures,Database Systems
86K-2156,1.67,2.33,2.67,2
85K-2219,4,4,4,4
56K-1472,2.67,1.67,2,1.67
86K-2188,2.33,2.67,2,3.33
55K-1443,2.67,1,2.33,2.33
56K-1638,4,2.67,2,3
55K-1414,4,3,3,4
56K-1478,2.33,2.67,1.33,2.67
56K-1460,1,1.67,2.67,1.33
12K-2005,3,1.67,1,2.67
85K-2134,2.33,1.67,2.67,4
56K-1600,3.33,2.33,2.33,2.33
86K-2110,2,2,2.33,2
85K-2017,3.67,3,4,3.33
86K-2086,3,3.67,2,2.67
55K-1562,4,4,4,4
55K-1463,2.67,2.67,3,3.33
56K-1607,1,2,2.67,3
55K-1455,3,2.67,2.67,2.67
56K-1429,3.33,2.67,1,1.33
56K-1474,4,2.67,4,4
56K-1430,1.67,2,2.33,2.33
85K-2379,3.33,1,2.67,3
85K-2127,2.67,1.33,3.67,2.67
56K-1576,2.67,3,1.33,3
85K-2197,2,1.67,1.67,2.67
56K-1405,3.67,2,1.67,3
85K-2035,1.67,2.33,1.33,1.67
85K-2067,2,1.67,1.33,3
86K-2159,2,1.67,1.67,2.33
85K-2182,2,1.67,1.67,2
56K-1567,3,1.67,1.67,1.33
85K-2112,2.33,2.33,2.33,2.67
55K-1508,3,2.33,1.67,2.67
56K-1465,3.67,2.67,2.33,2.67
85K-2092,2.67,1.67,1,2.67
86K-2258,1.67,2.67,1,3.33
56K-1563,2.67,2.33,2,2.33
86K-2091,1.33,1.33,2,1
85K-2103,3,1.67,2,3
86K-2176,2,1.67,2,3.67
56K-1591,3.67,2,1.33,1.33
55K-1551,2.67,1.33,3.67,1.33
86K-2106,4,4,4,3.67
56K-1639,2,3,3.67,2.67
86K-2238,1.67,1.33,1,2.33
86K-2167,2,3,2,2.67
85K-2037,3.33,3,2.33,3.33
56K-1524,3,2,2.33,3
56K-1578,3.67,3,3.67,1.67
55K-1467,3,2.33,2.67,2.67
55K-1605,1,1.67,3.67,1.67
86K-2092,2.67,2.33,1.33,2.67
56K-1543,3,2.67,1,1.67
56K-1425,2.67,1.33,2,2.67
55K-1519,2.67,2.67,3.33,3.33
56K-1507,4,4,4,3.33
85K-2190,3.67,4,3.33,4
56K-1427,3.67,3.33,4,3
85K-2050,2.33,1.67,1.67,2.33
56K-1424,3.67,2.33,2,1.33
86K-2100,1.33,3.33,1.67,1.33
56K-1528,3.67,3,2.33,2.33
86K-2280,2.33,2,1.67,3
85K-2293,2.33,3,1,3
56K-1447,2.67,2.67,3.33,3.67
55K-1507,1.33,2,2,2
86K-2155,4,4,2.67,3.67
86K-2050,1.67,2.33,1.33,2.33
56K-1428,4,2.67,2.33,1.33
85K-2022,2.67,4,3.33,3.33
56K-1504,3.67,2.67,1.33,1.33
56K-1442,3.33,3,3,1.67
86K-2059,2.67,3.33,3.33,3.33
85K-2026,3.67,3,3.33,3.33
55K-1535,1.33,1.33,3.33,1.33
55K-1515,1.67,2,2.67,1.33
85K-2030,2,1.33,1.33,3.33
85K-2247,3.67,2.67,3,4
85K-2181,2.33,2,2.33,2.33
85K-2212,1.67,2.33,1.67,2.33
55K-1606,2.33,2,2.33,1.33
56K-1453,3,2.33,1,1.67
85K-2081,2.33,1.33,1,3
86K-2235,2.67,3,2,3.67
86K-2102,2.67,2.67,1.67,2.33
85K-2218,2.67,2.33,3,3.33
55K-1570,4,4,4,3.67
86K-2175,2.67,2.33,3,3
86K-2094,1,3.67,3,1
56K-1602,1.67,1.67,1.67,2.33
56K-1473,2,1.33,2.33,1.67
86K-2093,1.67,3.33,2,2
55K-1421,2,2.67,3.33,2.33
85K-2272,2.67,2.67,2.33,3.33
55K-1468,2.33,1.67,1.67,2.67
55K-1547,2,2,2,2.67
85K-2164,2.33,2.33,1,2.67
86K-2207,1.33,1.33,2,1.33
56K-1512,2,1.67,3.33,1.67
86K-2250,1,1.33,4,1.67
55K-1580,2,3,2.33,2.33
85K-2044,2.67,1.67,1.67,3.33
56K-1536,2.33,1.33,2.67,1.67
85K-2108,2.67,1,1,2
56K-1490,4,3,3.33,2.33
55K-1480,2.33,2.33,2.67,3.33
85K-2165,2.33,2,1.67,3
55K-1593,3.33,2.67,3,1.67
86K-2223,2.67,2,3.67,2
56K-1446,3.67,2.67,1.67,1.33
85K-2276,2.33,2.33,2.33,3
85K-2011,2.67,2,1.67,3.33
85K-2256,2,1.67,1,2.67
85K-2368,3.33,1.33,2.33,3.33
85K-2093,2.67,2,1.67,3
56K-1523,3.67,2.67,3.33,1.67
86K-2146,3,2.67,1.67,3
55K-1474,4,3.33,3.67,3
86K-2003,2,2.33,1,2.33
55K-1495,2,2.33,2.33,2.33
86K-2055,2.33,2.33,1.33,3
55K-1521,2.67,2.33,3.67,1.67
85K-2205,3.67,4,3.67,4
55K-1609,1.67,1.33,2.67,1
55K-1449,2.67,2.33,2,3
55K-1491,4,3,1,2
86K-2068,2,3,1,2
86K-2244,1,2.33,3.33,2.33
85K-2040,2,2.67,1.67,1.67
56K-1407,3.33,1.67,3,1.67
85K-2172,2,2.67,2.33,3
55K-1582,3,1.33,2.33,1.67
56K-1480,2,2.33,3.67,1.67
85K-2122,2.33,3,3.33,3
86K-2218,1.67,1.33,1.67,2.67
56K-1642,4,3.33,1.33,1.33
55K-1494,4,2.33,3.33,3.67
86K-2107,3,2.67,2.33,3.33
56K-1545,1.33,2.67,3.33,1.67
86K-2171,2.33,1,1.67,1.33
85K-2209,2.33,2.67,1.67,2.67
56K-1613,3.67,1,1.67,1.33
86K-2097,2,3.33,2.33,3.67
56K-1547,2.67,2,1.67,2
85K-2016,4,3.33,3.67,3.67
86K-2203,3,2.33,3.33,3
56K-1612,1.67,4,2.67,1
55K-1529,2.67,2,2.67,2.33
85K-2019,2.33,1.67,2.33,1.67
55K-1528,2.33,2,2.33,3.33
55K-1511,2.67,2,2.33,2.67
56K-1535,3.33,3,4,2
85K-2281,2,1,1,1.67
86K-2356,4,3,2.33,2.67
86K-2389,1.33,2,1.33,3
85K-2352,3,2.67,1.33,2
86K-2298,2.67,2.67,2.67,1.33
86K-2044,1.33,1.67,1.33,2.33
85K-2137,4,2.67,3,2.33
85K-2109,3.67,2.67,2.33,2
85K-2113,3.67,2.67,3.67,3
86K-2173,4,3.33,2,3.67
86K-2309,1.33,2,1.67,3.67
85K-2076,3.67,3,4,3.33
85K-2077,3.67,1.33,1,1.67
85K-2095,3.33,1.33,3,2.67
85K-2357,3,3.33,1.67,2
86K-2307,2,2.67,2.33,3.67
86K-2219,3,2,2,2.33
85K-2274,3.33,2,3.33,2
86K-2302,3.33,3,2,2.33
86K-2304,3,3,2,2.33
86K-2023,3.67,3,2.67,3.33
86K-2181,2.33,1.67,1,1.33
86K-2268,4,2.67,2,3
86K-2274,3.33,3,2,2.67
86K-2039,3.33,3.33,2,2.33
86K-2305,2.67,2,3,2
85K-2028,3.67,3,2,2
86K-2025,1,1.33,1,3.67
86K-2009,3,3.67,2.67,3
85K-2347,3,3,1,2
86K-2224,4,4,3.33,2.67
86K-2081,3.33,3,3.33,1.67
86K-2030,4,4,3.67,3.33
86K-2225,3.33,3.33,3,2
86K-2036,1.67,3.67,1.67,3
86K-2325,2.33,2,2.33,3
86K-2217,3,4,2.67,2.67
86K-2185,4,3.33,2.67,3.67
85K-2059,3.67,1.33,1.33,2.67
85K-2371,3.33,3.33,1.33,1.67
85K-2199,4,3.33,3,3
86K-2008,1,1.67,2,3.33
86K-2033,3.33,3.33,1.33,1.33
86K-2037,4,3.33,2.33,3.67
86K-2148,2,3.33,3,1
85K-2264,3.67,3.33,2,1.67
85K-2367,4,1.33,3.33,3.33
86K-2168,4,4,2.67,4
86K-2220,3.33,3.67,3.67,3
86K-2245,3.33,3.67,1.67,2.33
86K-2300,3.67,3.67,2.67,2.33
86K-2211,3,3,3,2.67
86K-2151,4,3.67,3.67,3.33
86K-2088,2.33,3,1.33,1.67
86K-2321,2.67,2.67,1,3.67
86K-2370,3.67,2.33,2.67,4
86K-2042,2.67,4,3.33,3.33
85K-2340,4,3.67,2,2.33
86K-2096,3.33,3,1.67,2
86K-2115,3,2.33,1.33,2
86K-2117,3,3,2.33,2
86K-2098,3.33,3,4,3
85K-2126,3.67,2.33,1.67,2.33
86K-2287,3.33,3,2.33,2.67
86K-2322,2,1.33,2.33,3.33
86K-2139,3.33,2.33,1.67,1.67
86K-2034,4,2.67,4,3.67
86K-2213,3.67,2.67,1.33,2.67
86K-2281,3,2.67,2.67,2
85K-2287,3.33,2.33,3,1.67
85K-2236,4,2,2,2.33
85K-2302,3.67,3.33,2.33,3.33
85K-2195,3.67,1.33,1,2.33
86K-2058,3.33,3.33,3,2.67
86K-2165,4,4,4,4
86K-2319,2.33,1.67,1,2.33
86K-2024,1.67,2,1.33,1.33
85K-2230,3.67,3.67,2.67,3
86K-2164,3.67,2.67,2.33,2
85K-2273,4,3.33,3.67,2.67
86K-2243,4,3.33,3.33,2.33
86K-2190,2.33,2.33,3.33,1.33
87K-2311,2,3,3.67,1.33
86K-2149,3,2.33,1.67,1.67
86K-2019,2.67,2,2.33,3.67
86K-2144,1.67,2.33,1.33,1
86K-2256,3.67,2.67,2,2.67
86K-2052,3.67,2.67,3,2
86K-2007,2,2.33,3,2.33
86K-2084,2.33,2.67,2,1.67
86K-2020,2.67,2,2.33,2.67
86K-2323,1.67,3,2.33,2
85K-2222,3.33,4,2.33,2.33
85K-2051,3.67,2.33,3.33,3.33
86K-2331,1.33,2,2,3.33
86K-2162,4,4,3.33,4
86K-2069,4,3,1.33,1.67
86K-2314,1,1.67,1.33,2.67
86K-2017,4,4,2.33,2.67
86K-2108,4,4,4,4
85K-2151,3.67,2,1.67,1.67
86K-2187,2.33,1.33,1,1.67
85K-2046,2.33,2,1,1
86K-2326,3,3.67,2.33,3
86K-2014,3.33,3,3.33,3.33
86K-2031,2.67,4,4,3
86K-2130,4,3.33,4,2.67
86K-2251,2.67,2.67,2.33,1
85K-2232,2.67,3,2.67,1.33
85K-2171,4,1.33,1.33,1.33
85K-2354,3,2.67,1,1.67
86K-2026,4,4,4,4
86K-2132,3,3,2.33,2
86K-2282,3.67,4,3,2.67
86K-2013,4,3.33,2,3.33
86K-2028,2,3,2.33,3
86K-2313,4,4,2.67,3.33
85K-2433,3,1,3,2
86K-2041,1.67,2,2,2
86K-2032,3,3,3.33,3.33
86K-2048,3.33,3.33,2,3
86K-2310,1,2,3.67,2
86K-2329,4,4,4,3.67
85K-2351,3,2,1.67,1.67
85K-2361,4,2.33,2.67,3.33
86K-2043,2.33,3,2,2.67
86K-2087,3.67,2,2.33,1.67
86K-2277,4,4,4,3.67
86K-2318,2.33,2,3,3
85K-2322,3.67,4,4,3
86K-2011,2,3,2.67,2.67
85K-2425,4,1.67,2,2.67
86K-2010,2.67,3.33,2,3.33
85K-2349,4,2.33,2,2.33
86K-2047,4,2.33,1,2.33
85K-2114,3.67,1.67,2.33,3
85K-2192,3.67,3,3,2.67
86K-2016,1.33,4,2,3
86K-2260,3.67,2,1.67,3
86K-2018,1,1.33,1.33,2
86K-2317,1.33,3.33,2.67,4
86K-2170,3.33,2.67,2.67,2.67
86K-2306,3.67,3,4,3
86K-2072,3.33,3.33,3.67,2.33
85K-2348,3.33,1.67,1.67,2.67
86K-2045,4,3.67,4,3.33
86K-2466,3.67,4,3.67,2.33
