Row Labels,Calculus - I,English Language,Introduction to Computer Science,Pakistan Studies,Physics,SUM1,Computer Programming
56K-1413,58,74,70,62,58,66,66
56K-1414,78,70,74,74,70,73.2,66
56K-1415,86,86,86,82,86,85.6,86
56K-1416,86,86,86,74,70,81.6,70
56K-1418,70,82,74,78,66,73.2,74
56K-1419,82,82,82,74,78,80.4,82
56K-1422,62,82,66,62,58,65.2,62
56K-1423,62,70,62,70,82,67.6,62
56K-1425,50,70,70,74,54,65.2,54
56K-1426,50,86,78,62,74,73.6,78
56K-1427,78,82,82,70,78,79.6,78
56K-1428,78,74,86,62,70,78.4,58
56K-1431,66,82,70,74,58,68.8,58
56K-1434,78,78,82,66,70,77.2,70
56K-1435,50,86,70,62,50,64.8,58
56K-1436,50,74,58,66,62,60.4,0
56K-1441,62,74,58,78,74,65.2,0
56K-1445,50,86,78,86,50,71.2,62
56K-1450,62,70,70,66,62,67.2,58
56K-1455,78,74,50,66,66,60,0
56K-1457,78,78,62,78,62,66.8,62
56K-1459,50,86,54,74,78,63.6,54
56K-1462,50,86,78,62,54,69.6,54
56K-1463,58,78,58,62,54,59.6,0
56K-1464,62,78,66,78,78,70.4,62
56K-1473,66,74,62,66,58,63.2,54
56K-1479,50,70,66,70,62,64.4,62
56K-1483,78,62,74,54,58,68,0
56K-1486,82,70,70,74,74,72.4,58
56K-1490,62,78,86,62,62,75.6,74
56K-1491,62,82,78,70,66,73.6,74
56K-1492,58,82,66,74,58,66,62
56K-1497,62,82,70,66,54,66.8,62
56K-1510,66,74,66,70,70,68,58
56K-1517,50,78,74,66,50,66.4,74
56K-1520,58,70,70,70,62,67.2,54
56K-1417,74,86,86,74,86,83.6,86
56K-1420,86,86,86,78,62,80.4,82
56K-1447,62,74,70,66,54,66,70
56K-1449,74,82,70,86,86,76.4,70
56K-1454,74,82,86,74,62,78.4,86
56K-1461,62,86,70,74,58,68.8,66
56K-1474,78,82,86,74,86,83.6,70
56K-1477,86,82,86,82,86,85.2,86
56K-1480,78,66,62,74,74,67.6,66
56K-1487,66,86,78,86,58,74.4,66
56K-1493,66,74,54,70,58,59.6,0
56K-1495,54,82,82,62,62,73.2,78
56K-1499,78,62,78,74,62,72.8,70
56K-1502,66,82,74,74,58,70.8,62
56K-1507,78,86,86,74,78,82.4,86
56K-1512,82,78,62,74,66,67.6,58
56K-1518,86,74,70,74,78,74,62
56K-1523,74,82,82,66,62,75.6,70
56K-1524,66,78,74,62,62,70,62
56K-1525,58,74,62,74,74,66.4,0
56K-1527,62,82,62,66,50,62,50
56K-1529,58,78,70,70,58,67.2,58
56K-1531,66,78,62,70,58,64,70
56K-1532,78,86,86,74,58,78.4,66
56K-1533,70,82,82,82,70,78.4,70
56K-1535,62,82,78,62,62,72,74
56K-1536,78,66,66,74,78,70.4,54
56K-1537,62,66,54,74,54,58,0
56K-1538,70,70,54,78,66,62,62
56K-1540,70,70,62,74,50,62.4,66
56K-1541,62,70,78,66,50,68.8,62
56K-1542,58,70,70,62,54,64.8,0
56K-1551,54,70,54,66,62,58.4,0
56K-1552,82,86,86,78,66,80.8,78
56K-1557,86,78,74,74,86,78,74
56K-1562,78,82,86,74,70,80.4,74
56K-1563,50,86,70,78,66,69.6,66
56K-1573,58,62,70,66,62,66,74
56K-1574,50,70,58,70,62,60.4,54
56K-1579,70,74,54,66,78,63.6,50
56K-1582,54,62,82,62,58,70.4,74
56K-1589,78,86,86,74,82,83.2,82
56K-1597,58,86,78,70,62,72.8,70
56K-1600,54,82,78,70,70,73.6,66
56K-1602,62,82,58,74,74,65.6,58
56K-1607,50,78,50,78,58,57.2,62
56K-1626,58,78,66,74,66,67.2,58
56K-1630,54,78,74,58,58,67.6,74
56K-1639,70,66,62,66,62,63.6,74
56K-1641,58,70,58,74,62,61.6,62
56K-1647,50,78,74,58,50,65.6,66
56K-1650,50,70,74,70,54,66.8,62
56K-1657,70,70,66,62,66,66.4,62
56K-1660,74,62,62,58,62,62.8,62
