ID,Calculus - I,Calculus - II,Linear Algebra,SUM1,Probability & Statistics
56K-1407,50,62,58,56.8,70
56K-1409,74,78,86,80,86
56K-1410,78,74,86,80,86
56K-1412,82,86,82,83.2,78
56K-1413,58,58,54,56.4,62
56K-1414,78,74,82,78.4,66
56K-1415,86,86,86,86,86
56K-1417,74,78,86,80,86
56K-1418,70,70,82,74.8,62
56K-1419,82,86,78,81.6,78
56K-1422,62,66,82,71.2,66
56K-1423,62,74,74,70.4,70
56K-1424,58,62,58,59.2,74
56K-1425,50,58,58,55.6,58
56K-1426,50,62,66,60,78
56K-1427,78,66,86,77.6,70
56K-1428,78,86,74,78.8,62
56K-1429,74,66,50,62,54
56K-1430,58,86,78,74.4,70
56K-1431,66,70,74,70.4,70
56K-1432,62,70,58,62.8,62
56K-1433,62,70,58,62.8,70
56K-1434,78,62,82,74.8,70
56K-1435,50,62,54,55.2,70
56K-1436,50,62,66,60,70
56K-1437,58,86,78,74.4,70
56K-1438,66,58,54,58.8,66
56K-1441,62,66,58,61.6,70
56K-1442,62,74,70,68.8,58
56K-1445,50,58,50,52.4,70
56K-1446,86,82,70,78.4,58
56K-1447,62,74,78,72,70
56K-1448,62,70,62,64.4,58
56K-1449,74,78,82,78.4,74
56K-1450,62,66,70,66.4,58
56K-1451,78,74,66,72,66
56K-1453,62,78,74,71.6,54
56K-1454,74,74,74,74,70
56K-1455,78,70,62,69.2,50
56K-1457,78,86,78,80.4,74
56K-1458,82,66,50,64.4,86
56K-1459,50,62,82,66.4,78
56K-1460,78,82,78,79.2,66
56K-1461,62,62,70,65.2,70
56K-1462,50,50,54,51.6,70
56K-1463,58,58,74,64.4,66
56K-1464,62,66,82,71.2,70
56K-1465,70,74,78,74.4,70
56K-1466,70,86,70,74.8,54
56K-1470,58,70,74,68,62
56K-1473,66,70,74,70.4,58
56K-1474,78,82,86,82.4,86
56K-1475,58,70,54,60,54
56K-1478,74,66,70,70,50
56K-1479,50,62,62,58.4,54
56K-1480,78,62,74,71.6,70
56K-1481,86,74,54,69.6,74
56K-1483,78,70,62,69.2,70
56K-1485,58,62,66,62.4,0
56K-1487,66,66,74,69.2,78
56K-1489,50,70,50,56,54
56K-1490,62,66,54,60,54
56K-1492,58,62,70,64,74
56K-1494,78,70,70,72.4,62
56K-1500,58,70,54,60,58
56K-1502,66,70,74,70.4,78
56K-1504,86,66,54,67.2,50
56K-1511,62,66,70,66.4,54
56K-1512,82,82,74,78.8,58
56K-1520,58,74,66,66,78
56K-1525,58,74,86,74,78
56K-1526,58,58,62,59.6,54
56K-1528,50,74,58,60.4,54
56K-1535,62,62,54,58.8,50
56K-1537,62,70,62,64.4,54
56K-1539,74,70,58,66.4,54
56K-1540,70,62,50,59.6,50
56K-1544,62,74,58,64,50
56K-1545,62,58,74,65.6,50
56K-1546,70,62,54,61.2,0
56K-1549,70,62,82,72.4,50
56K-1555,78,66,70,71.2,50
56K-1556,70,58,50,58.4,50
56K-1567,62,74,78,72,0
56K-1578,62,58,58,59.2,54
56K-1580,74,66,58,65.2,54
56K-1593,66,50,54,56.4,54
56K-1606,70,70,74,71.6,0
56K-1405,62,82,86,77.6,82
56K-1416,86,86,86,86,82
56K-1420,86,82,74,80,82
56K-1472,62,74,58,64,66
56K-1477,86,86,86,86,86
56K-1484,74,70,66,69.6,66
56K-1486,82,82,74,78.8,86
56K-1491,62,62,66,63.6,70
