ID,Calculus - I,Calculus - II,Linear Algebra,Probability & Statistics,,SUM1
56K-1609,50,50,66,66,,56.4
56K-1638,58,74,82,66,,72.4
56K-1641,58,66,70,66,,65.2
56K-1649,74,78,66,66,,72
56K-1651,58,78,82,66,,73.6
55K-1430,50,62,62,70,,58.4
55K-1438,58,62,58,70,,59.2
55K-1451,74,66,82,70,,74.8
55K-1455,70,70,70,70,,70
55K-1468,54,70,74,70,,66.8
55K-1480,74,58,82,70,,72.4
55K-1483,62,62,82,70,,70
55K-1490,50,62,62,70,,58.4
55K-1497,58,62,62,70,,60.8
55K-1508,70,78,54,70,,66
55K-1518,78,74,74,70,,75.2
55K-1528,74,66,74,70,,71.6
55K-1529,82,70,54,70,,67.2
55K-1536,74,70,86,70,,77.6
55K-1548,62,62,66,70,,63.6
55K-1549,58,70,74,70,,68
55K-1586,74,58,58,70,,62.8
55K-1593,70,50,66,70,,62.4
55K-1606,54,62,50,70,,54.8
56K-1403,78,74,74,70,,75.2
56K-1407,50,62,58,70,,56.8
56K-1423,62,74,74,70,,70.4
56K-1427,78,66,86,70,,77.6
56K-1430,58,86,78,70,,74.4
56K-1431,66,70,74,70,,70.4
56K-1433,62,70,58,70,,62.8
56K-1434,78,62,82,70,,74.8
56K-1435,50,62,54,70,,55.2
56K-1436,50,62,66,70,,60
56K-1437,58,86,78,70,,74.4
56K-1441,62,66,58,70,,61.6
56K-1445,50,58,50,70,,52.4
56K-1447,62,74,78,70,,72
56K-1454,74,74,74,70,,74
56K-1461,62,62,70,70,,65.2
56K-1462,50,50,54,70,,51.6
56K-1464,62,66,82,70,,71.2
56K-1465,70,74,78,70,,74.4
56K-1480,78,62,74,70,,71.6
56K-1483,78,70,62,70,,69.2
56K-1491,62,62,66,70,,63.6
56K-1497,62,62,66,70,,63.6
56K-1499,78,74,58,70,,68.8
56K-1506,62,66,70,70,,66.4
56K-1523,74,66,66,70,,68.4
56K-1524,66,62,74,70,,68
56K-1531,66,70,70,70,,68.8
56K-1565,78,74,62,70,,70.4
56K-1579,70,70,74,70,,71.6
56K-1582,54,62,66,70,,61.2
56K-1602,62,66,70,70,,66.4
56K-1608,70,70,62,70,,66.8
56K-1613,82,74,66,70,,73.2
56K-1625,50,82,70,70,,67.6
56K-1626,58,62,62,70,,60.8
56K-1657,70,82,70,70,,73.6
56K-1660,74,62,70,70,,68.8
55K-1406,78,58,66,74,,67.2
55K-1432,74,66,74,74,,71.6
55K-1449,74,74,78,74,,75.6
55K-1457,74,62,78,74,,72
55K-1458,86,66,66,74,,72
55K-1466,82,70,62,74,,70.4
55K-1495,54,50,62,74,,56
55K-1505,78,54,74,74,,69.2
55K-1512,66,66,78,74,,70.8
55K-1525,66,58,74,74,,66.8
55K-1540,62,62,82,74,,70
55K-1553,54,70,66,74,,63.6
55K-1570,70,66,82,74,,73.6
55K-1608,86,78,82,74,,82
55K-1610,74,74,66,74,,70.8
56K-1402,66,70,62,74,,65.6
56K-1424,58,62,58,74,,59.2
56K-1449,74,78,82,74,,78.4
56K-1457,78,86,78,74,,80.4
56K-1481,86,74,54,74,,69.6
56K-1492,58,62,70,74,,64
56K-1498,50,62,50,74,,53.6
56K-1510,66,62,66,74,,64.8
56K-1527,62,62,66,74,,63.6
56K-1532,78,66,78,74,,74.4
56K-1538,70,78,78,74,,75.6
56K-1563,50,70,82,74,,68.8
56K-1600,54,62,54,74,,56.4
56K-1615,54,66,58,74,,59.2
56K-1619,62,74,66,74,,67.2
55K-1401,54,50,54,78,,52.8
55K-1424,82,86,70,78,,78.4
55K-1427,58,66,70,78,,65.2
55K-1434,86,66,82,78,,78.4
55K-1444,86,82,70,78,,78.4
55K-1454,86,66,74,78,,75.2
55K-1474,82,82,78,78,,80.4
55K-1531,66,54,54,78,,57.6
55K-1547,50,50,54,78,,51.6
55K-1577,86,74,62,78,,72.8
55K-1598,66,74,78,78,,73.2
55K-1599,66,62,62,78,,63.2
56K-1412,82,86,82,78,,83.2
56K-1419,82,86,78,78,,81.6
56K-1426,50,62,66,78,,60
56K-1459,50,62,82,78,,66.4
56K-1487,66,66,74,78,,69.2
56K-1502,66,70,74,78,,70.4
56K-1520,58,74,66,78,,66
56K-1525,58,74,86,78,,74
56K-1533,70,74,78,78,,74.4
56K-1543,50,62,58,78,,56.8
56K-1552,82,70,78,78,,76.8
56K-1553,58,54,50,78,,53.6
56K-1558,62,50,50,78,,53.6
56K-1597,58,66,74,78,,66.8
56K-1612,50,58,62,78,,57.2
56K-1614,78,78,74,78,,76.4
56K-1639,70,74,86,78,,77.6
55K-1404,70,86,78,82,,78
55K-1409,50,54,86,82,,65.6
55K-1431,82,86,86,82,,84.8
55K-1443,62,62,82,82,,70
55K-1461,86,86,74,82,,81.2
55K-1463,70,82,78,82,,76.8
55K-1467,78,70,62,82,,69.2
55K-1475,86,78,78,82,,80.4
55K-1487,62,62,58,82,,60.4
55K-1494,86,86,86,82,,86
55K-1496,78,82,86,82,,82.4
55K-1504,62,70,74,82,,69.2
55K-1509,54,70,62,82,,62
55K-1519,86,86,86,82,,86
55K-1597,82,70,78,82,,76.8
56K-1405,62,82,86,82,,77.6
56K-1416,86,86,86,82,,86
56K-1420,86,82,74,82,,80
56K-1495,54,66,86,82,,70.4
56K-1507,78,74,82,82,,78.4
56K-1562,78,70,82,82,,77.2
56K-1610,62,82,74,82,,72.8
55K-1414,86,74,82,86,,80.8
55K-1439,62,78,78,86,,73.2
55K-1441,86,82,86,86,,84.8
55K-1465,62,58,86,86,,70.4
55K-1473,82,82,86,86,,83.6
55K-1478,66,66,66,86,,66
55K-1551,62,50,54,86,,55.2
55K-1562,86,86,86,86,,86
55K-1605,62,62,54,86,,58.8
55K-1607,62,62,78,86,,68.4
56K-1406,82,86,86,86,,84.8
56K-1409,74,78,86,86,,80
56K-1410,78,74,86,86,,80
56K-1415,86,86,86,86,,86
56K-1417,74,78,86,86,,80
56K-1458,82,66,50,86,,64.4
56K-1474,78,82,86,86,,82.4
56K-1477,86,86,86,86,,86
56K-1486,82,82,74,86,,78.8
56K-1518,86,86,82,86,,84.4
56K-1557,86,86,86,86,,86
56K-1576,66,62,74,86,,68
56K-1586,74,58,54,86,,61.2
56K-1589,78,82,86,86,,82.4
