ID,Introduction to Computer Science,Computer Programming,Data Structures,Database Systems
56K-1607,1,2,2.67,3
56K-1608,2.33,2.33,3,1.67
56K-1609,3.33,2,1.33,2
56K-1610,3.33,3,2,3
56K-1612,1.67,4,2.67,1
56K-1613,3.67,1,1.67,1.33
56K-1614,2,1.67,1.33,1.67
56K-1615,3,2,2.33,2.33
56K-1618,3.33,2.67,2,1
56K-1619,1.67,1.33,2,1
56K-1624,3.67,2.33,2.33,2.33
56K-1625,2.67,3.67,2,2.67
56K-1626,2.33,1.67,3,2.33
56K-1627,3.67,1.67,2,1.67
56K-1630,3,3,3.33,1.33
56K-1631,1.67,2.67,2,2.67
56K-1635,1,1.67,2,2.33
56K-1636,2.33,1.33,2,1.67
56K-1638,4,2.67,2,3
56K-1639,2,3,3.67,2.67
56K-1641,1.67,2,2.33,2.67
56K-1642,4,3.33,1.33,1.33
56K-1646,4,2,2.67,1.67
56K-1647,3,2.33,1.67,1.67
56K-1649,4,4,2,2.67
56K-1650,3,2,2.67,1.33
56K-1651,3,1,1.33,2.33
56K-1657,2.33,2,3.33,3
56K-1659,3.67,2.67,4,2
56K-1660,2,2,3.67,2.33
56K-1661,3.67,4,2,2.67
